section,item,value,extra1,extra2,extra3,extra4
TOKENOMICS,Total Supply,350000000,,,,
TOKENOMICS,Circulating at Launch,70000000,20%,,,
TOKENOMICS,Team Allocation,70000000,20%,4-year vesting,1-year cliff,
TOKENOMICS,Ecosystem Fund,105000000,30%,5-year lock,,
TOKENOMICS,Treasury,35000000,10%,3-year lock,,
TOKENOMICS,Staking Rewards,70000000,20%,Emission curve 5 yrs,,
VESTING,Team Vesting,20%,48 months,12-month cliff,Linear,
VESTING,Advisors,5%,24 months,6-month cliff,Linear,
VESTING,Investors,10%,18 months,No cliff,Monthly,
LP_RATIOS,Initial LP USDT,250000,,,,
LP_RATIOS,Initial LP Tokens,25000000,,,,
LP_RATIOS,Starting Price,0.01,,,,
LAUNCH_STRATEGY,DEX Listing,Monkol-DEX,Primary listing,,,
LAUNCH_STRATEGY,CEX Listing,Phase 2,After stability,,,
LAUNCH_STRATEGY,Presale %,10%,35M tokens,,,
LAUNCH_STRATEGY,LP Lock Duration,12 months,Anti-rug,,,
LAUNCH_STRATEGY,Market Making,MM bot activated,spread control,,,
PRICE_MODEL,Target Price,0.20,Requires: MC 14M,Increase users + LP,,
PRICE_MODEL,Target Price,0.50,Requires: MC 35M,Staking + burns,,
PRICE_MODEL,Target Price,1.00,Requires: MC 70M,CEX listing,,
PRICE_MODEL,Target Price,5.00,Requires: MC 350M,Global adoption,,
